,Text,Character,season_no,episode_no,episode_name
0,[water rushing],,1,1,A Grain of Truth
1,[woodpecker drilling],,1,1,A Grain of Truth
2,[snarling],,1,1,A Grain of Truth
3,[screeching],,1,1,A Grain of Truth
4,-[yells] -[screeches],,1,1,A Grain of Truth
5,[grunting],,1,1,A Grain of Truth
6,[growls],,1,1,A Grain of Truth
7,[hisses],,1,1,A Grain of Truth
8,[neighs],,1,1,A Grain of Truth
9,[screeches],,1,1,A Grain of Truth
10,[sighs],,1,1,A Grain of Truth
11,"Today isn't your day, is it?",,1,1,A Grain of Truth
12,What will it be?,,1,1,A Grain of Truth
13,Point me to the alderman's house.,,1,1,A Grain of Truth
14,-It's down the alley to the left.,,1,1,A Grain of Truth
15,"We don't want your kind here, Witcher.",,1,1,A Grain of Truth
16,"The alderman, tell me where he is and I'll be on my way.",,1,1,A Grain of Truth
17,You don't give the orders around here...,,1,1,A Grain of Truth
18,[scoffs] you mutant son of a bitch.,,1,1,A Grain of Truth
19,-[innkeeper] Hear that? -[low rumble],,1,1,A Grain of Truth
20,"Go on your own or at the end of a rope, your choice.",,1,1,A Grain of Truth
21,Not a hard choice.,,1,1,A Grain of Truth
22,"Yeah, fuck that. Kill him with your bare hands if you have to.",,1,1,A Grain of Truth
23,"C'mon, Witcher. You're not scared of us, are ya? Show us what you've got. -Can you not leave it alone for a moment?",,1,1,A Grain of Truth
24,-Witchers can't be trusted. -[woman] I'm not speaking to you.,,1,1,A Grain of Truth
25,I apologize for my man's interference in your day. Hopefully he can improve his behavior by tomorrow's market.,,1,1,A Grain of Truth
26,"Sorry, Renfri. Come on, lads.",,1,1,A Grain of Truth
27,"Beer for my friend here and one for me. I am speaking to you now, good sir.",,1,1,A Grain of Truth
28,Want some breakfast?,,1,1,A Grain of Truth
29,I'm full. Venison.,,1,1,A Grain of Truth
30,"My mother, God rest her, would be mortified.",,1,1,A Grain of Truth
31,"Our secret, then.",,1,1,A Grain of Truth
32,"So, what brings you to Blaviken, White Hair? You came for a monster?",,1,1,A Grain of Truth
33,I was traveling by the swamp.,,1,1,A Grain of Truth
34,"That would be your mistake, then. Why wouldn't you travel by main roads?",,1,1,A Grain of Truth
35,It's hard to make a living on main roads.,,1,1,A Grain of Truth
36,And you desperately need money for new clothes.,,1,1,A Grain of Truth
37,Two more beers.,,1,1,A Grain of Truth
38,[sighs],,1,1,A Grain of Truth
39,"More and more, I find monsters wherever I go.",,1,1,A Grain of Truth
40,"How much coin for your kikimora, then?",,1,1,A Grain of Truth
41,I killed a rat this morning with my breakfast fork.,,1,1,A Grain of Truth
42,Stabbed it in its fat little gut.,,1,1,A Grain of Truth
43,"My mother nearly fainted, but what was I supposed to do?",,1,1,A Grain of Truth
44,It had been shitting in our pantry for days.,,1,1,A Grain of Truth
45,-[Witcher] You mentioned coin. -[girl] Yes.,,1,1,A Grain of Truth
46,Isadora said you were looking for my father.,,1,1,A Grain of Truth
47,"She's a gossip, you see.",,1,1,A Grain of Truth
48,Probably went two steps into the Lord's Inn,,1,1,A Grain of Truth
49,before she was running off telling everyone an evil witcher had arrived.,,1,1,A Grain of Truth
50,[horse snorts],,1,1,A Grain of Truth
51,You don't scare me.,,1,1,A Grain of Truth
52,That's too bad.,,1,1,A Grain of Truth
53,And I can also tell you that my father will have no usefor this beast.,,1,1,A Grain of Truth
54,"Your father, the alderman?",,1,1,A Grain of Truth
55,He posted a flyer.,,1,1,A Grain of Truth
56,For a graveir.,,1,1,A Grain of Truth
57,kikimoras are useful. Population control.,,1,1,A Grain of Truth
58,Hm.,,1,1,A Grain of Truth
59,"You should speak to Master Irion, our wizard.",,1,1,A Grain of Truth
60,He's willing to pay for odds and ends he needs for elixirs.,,1,1,A Grain of Truth
