index;season_no;episode_no;episode_name;Character;Text
0;1;1;A Grain of Truth;;[water rushing]
1;1;1;A Grain of Truth;;[woodpecker drilling]
2;1;1;A Grain of Truth;;[snarling]
3;1;1;A Grain of Truth;;[screeching]
4;1;1;A Grain of Truth;;[yells]
5;1;1;A Grain of Truth;;[screeches]
6;1;1;A Grain of Truth;;[grunting]
7;1;1;A Grain of Truth;;[growls]
8;1;1;A Grain of Truth;;[hisses]
9;1;1;A Grain of Truth;;[neighs]
10;1;1;A Grain of Truth;;[screeches]
11;1;1;A Grain of Truth;;[sighs]
12;1;1;A Grain of Truth;Geralt;Today isn't your day, is it?
13;1;1;A Grain of Truth;Inkeeper's wife;What will it be?
14;1;1;A Grain of Truth;Geralt;Point me to the alderman's house.
15;1;1;A Grain of Truth;Inkeeper's wife;It's down the alley to the left.
16;1;1;A Grain of Truth;Inkeeper;We don't want your kind here, Witcher.
17;1;1;A Grain of Truth;Geralt;The alderman, tell me where he is and I'll be on my way.
18;1;1;A Grain of Truth;rogue;You don't give the orders around here...
19;1;1;A Grain of Truth;rogue;[scoffs] you mutant son of a bitch.
20;1;1;A Grain of Truth;Inkeeper;[innkeeper] Hear that?
21;1;1;A Grain of Truth;;[low rumble]
22;1;1;A Grain of Truth;Inkeeper;Go on your own or at the end of a rope, your choice.
23;1;1;A Grain of Truth;Geralt;Not a hard choice.
24;1;1;A Grain of Truth;Inkeeper;Yeah, fuck that. Kill him with your bare hands if you have to.
25;1;1;A Grain of Truth;rogue;C'mon, Witcher. You're not scared of us, are ya? Show us what you've got.
26;1;1;A Grain of Truth;Renfri;Can you not leave it alone for a moment?
27;1;1;A Grain of Truth;Inkeeper;Witchers can't be trusted.
28;1;1;A Grain of Truth;Renfri;[woman] I'm not speaking to you.
29;1;1;A Grain of Truth;Renfri;I apologize for my man's interference in your day. Hopefully he can improve his behavior by tomorrow's market.
30;1;1;A Grain of Truth;rogue;Sorry, Renfri. Come on, lads.
31;1;1;A Grain of Truth;Renfri;Beer for my friend here and one for me. I am speaking to you now, good sir.
32;1;1;A Grain of Truth;Renfri;Want some breakfast?
33;1;1;A Grain of Truth;Geralt;I'm full. Venison.
34;1;1;A Grain of Truth;Renfri;My mother, God rest her, would be mortified.
35;1;1;A Grain of Truth;Geralt;Our secret, then.
36;1;1;A Grain of Truth;Renfri;So, what brings you to Blaviken, White Hair? You came for a monster?
37;1;1;A Grain of Truth;Geralt;I was traveling by the swamp.
38;1;1;A Grain of Truth;Renfri;That would be your mistake, then. Why wouldn't you travel by main roads?
39;1;1;A Grain of Truth;Geralt;It's hard to make a living on main roads.
40;1;1;A Grain of Truth;Renfri;And you desperately need money for new clothes.
41;1;1;A Grain of Truth;Renfri;Two more beers.
42;1;1;A Grain of Truth;;[sighs]
43;1;1;A Grain of Truth;Renfri;More and more, I find monsters wherever I go.
44;1;1;A Grain of Truth;Marilka;How much coin for your kikimora, then?
