Number;Start time in milliseconds;End time in milliseconds;"Text"
1;18583,3334;21291,6667;"-[girl] So, where are you taking me?
-[boy] It's a surprise."
2;21375;23500;"[girl] A surprise? What surprise?"
3;23583,3334;26291,6667;"-[boy] I got you something.
-Do tell."
4;26375;29541,6667;"[boy] Well, if I tell now,
it wouldn't be a surprise, would it?"
5;29625;32083,3334;"[laughs] You're a very, very naughty boy."
6;32166,6667;34166,6667;"Stand there. Close your eyes."
7;36333,3334;37333,3334;"Open."
8;39458,3334;41625;"A daisy? Not a rose?"
9;41708,3334;44125;"-Roses are cliché.
-Daisies are cheap."
10;45125;48083,3334;"I can still... kiss you, right?"
11;56458,3334;57500;"Where did it go?"
12;57583,3334;59250;"-What?
-My daisy."
13;61458,3334;63583,3334;"-Thought you didn't want it?
-Ugh!"
14;65083,3334;66083,3334;"[gasps]"
15;74166,6667;77125;"-Now it smells of pig shit.
-You been spying on us, you creep?"
16;77208,3334;79250;"'Course. Look at her.
No one's ever kissed that."
17;79333,3334;81333,3334;"Could she even stand up straight to do it?"
18;81416,6667;83458,3334;"Where you going, crooked girl?
We can teach you."
19;83541,6667;85708,3334;"Leave me alone. Stop."
20;85791,6667;87666,6667;"I heard your father 
makes you sleep with pigs."
21;87750;90291,6667;"-Stop.
-Your own family doesn't even want you."
22;101083,3334;102666,6667;"[gasps]"
23;102750;104250;"-[whispering voice]
-[shudders]"
24;108041,6667;109875;"[whispering]"
25;114416,6667;116083,3334;"[gasps]"
26;116166,6667;118166,6667;"[rumbling and whispering continue]"
27;119041,6667;122291,6667;"-Who are you?
-Wha-- what is all this?"
28;122375;123625;"Am I dead?"
29;124500;126000;"How did I get here?"
30;126083,3334;128291,6667;"Well, it looks to me 
like you portalled in."
31;129666,6667;130750;"I what?"
32;131375;132458,3334;"You know, portalled."
33;133791,6667;136625;"From wherever you were to here."
34;136708,3334;138125;"The Tower of the Gull."
35;139125;140125;"Aretuza."
36;142500;143750;"Oh, you're a virgin."
37;147000;148000;"I'm sorry."
38;149416,6667;150750;"I'm s-- I'm sorry."
39;153500;156458,3334;"Your backhand is even more impressive
than your magic."
40;158625;159625;"My what?"
41;159708,3334;162041,6667;"[woman] We're not supposed
to be out here..."
42;165375;166916,6667;"-[gasps]
-What's wrong?"
43;173125;177083,3334;"If you could conjure that portal
out of thin air, she'll be coming for you."
44;177166,6667;179583,3334;"She? She who?"
45;182000;183083,3334;"What are you doing?"
46;186166,6667;187958,3334;"[speaking Elder]"
47;188041,6667;189500;"[rumbling]"
48;195416,6667;196416,6667;"What's that?"
49;197583,3334;199458,3334;"It's a-- a different kind of portal."
50;200583,3334;201916,6667;"One that can't be tracked."
51;202000;204833,3334;"See, the one you made 
has put a target on your back,"
52;204916,6667;206333,3334;"but this will take you home."
53;207166,6667;209125;"Look, you can trust me."
54;211083,3334;212458,3334;"What's your name?"
55;212541,6667;213916,6667;"Istredd."
56;216375;218041,6667;"-Wait. What's your--
-[rumbling]"
57;219000;220208,3334;"[sighs]"
58;220291,6667;222291,6667;"[clucking]"
59;231791,6667;233083,3334;"Get out of there, girl."
60;235500;237458,3334;"-[grunts]
-I-- I can do it."
61;237541,6667;238750;"[grunts]"
62;243791,6667;245041,6667;"[neighs]"
63;245916,6667;247166,6667;"[groans]"
64;266458,3334;267541,6667;"How much for a pig?"
65;269333,3334;271083,3334;"They'll be at market tomorrow."
66;271166,6667;272458,3334;"Well, I'm here today."
67;274750;275875;"Ten marks."
68;278958,3334;280291,6667;"How much for this beast?"
69;284291,6667;285708,3334;"-Six.
-Four."
70;286541,6667;289416,6667;"-What are you doing?
-Sold. Four marks."
71;290000;295250;"-Are you mad? You can't let them have her.
-As I said, sold. Four marks."
72;296333,3334;298875;"The woman's a witch.
You know what they will do."
73;299750;302333,3334;"-She's our daughter.
-She's no daughter of mine."
74;304083,3334;307583,3334;"Mother. [yelps] Please help me."
75;312375;314208,3334;"[witch] Excellent. I'll be going."
76;316875;318083,3334;"You can't take me!"
77;318791,6667;319958,3334;"I won't go."
78;329333,3334;330333,3334;"Let me out!"
79;332500;333583,3334;"Let me out!"
80;333666,6667;334833,3334;"[sobs]"
81;374333,3334;375708,3334;"Four marks."
82;377791,6667;378791,6667;"[whimpers]"
83;382166,6667;383500;"[screams]"
84;387916,6667;389166,6667;"[sobs]"
85;438791,6667;439791,6667;"[man] Princess!"
86;441250;443083,3334;"Princess Cirilla!"
87;443833,3334;445333,3334;"Princess Cirilla!"
88;445416,6667;447333,3334;"[second man] Come on! Now, Princess!"
89;449708,3334;451666,6667;"-You, check down there.
-[horse neighs]"
90;454083,3334;456500;"-Princess?
-Where are you, Princess?"
91;458041,6667;459833,3334;"Princess Cirilla!"
92;461750;463041,6667;"Moving to the stream."
93;463125;465250;"-You, keep your eyes open!
-[horses neigh]"
94;465958,3334;467166,6667;"Princess Cirilla!"
95;511666,6667;512666,6667;"[gasps]"
96;514458,3334;515458,3334;"Who's there?"
97;524333,3334;525541,6667;"Stop right there."
98;531166,6667;532375;"You mean they're poison?"
99;550000;551000;"[squeaking]"
100;555041,6667;557750;"Oh, uh... no, thank you."
101;558583,3334;560083,3334;"I don't eat rat."
102;563083,3334;564083,3334;"[sighs]"
103;564166,6667;565250;"Wait."
104;572375;574166,6667;"Wh-Where in Cintra did you live?"
105;577625;578916,6667;"Where are your parents?"
106;581916,6667;582958,3334;"Why don't you talk?"
107;587833,3334;590000;"I haven't spoken to anybody
in three days."
108;590666,6667;591666,6667;"I guess..."
109;592875;593875;"I'm on the run."
110;597458,3334;599708,3334;"I'm supposed to be going towards someone,"
111;599791,6667;602250;"but instead, 
I'm running from someone else."
112;612500;613541,6667;"He has this..."
113;615541,6667;618000;"this big bird on his head."
114;624291,6667;626041,6667;"I don't know what he wants from me."
115;629083,3334;630750;"We should smother the fire."
116;631666,6667;633083,3334;"I can't be caught by him."
117;635166,6667;636166,6667;"I can't."
118;654541,6667;655708,3334;"[shivers]"
119;684375;685791,6667;"[tapping]"
120;686666,6667;687916,6667;"[murmuring voices]"
121;689416,6667;693250;"Look, it's the Cintran flag.
Come on, we're saved."
122;702750;703750;"Rat Boy?"
123;707000;708000;"[lute plays]"
124;708083,3334;710333,3334;"[man] ♪ You think you're safe ♪"
125;712333,3334;715458,3334;"♪ Without a care ♪"
126;716791,6667;719708,3334;"♪ But here in Posada ♪"
127;720750;722708,3334;"♪ You'd be wise to beware ♪"
128;723750;725875;"♪ The pike with the spike ♪"
129;725958,3334;728500;"♪ That lurks in your drawers ♪"
130;728583,3334;730208,3334;"♪ Or the flying drake ♪"
131;730291,6667;734291,6667;"♪ That will fill you with horror ♪"
132;735583,3334;738083,3334;"♪ Need old Nan the Hag ♪"
133;738166,6667;740291,6667;"♪ To stir up a potion ♪"
134;740375;742291,6667;"♪ So that your lady ♪"
135;742375;745833,3334;"♪ May get an abortion ♪"
136;745916,6667;747750;"-Abort yourself!
-Oh, oi!"
137;747833,3334;749291,6667;"-Stop! Fuck off!
-[woman] Shut up!"
138;749375;751833,3334;"I'm so glad that I could
bring you all together like this."
139;751916,6667;754041,6667;"-[man] Sit down and shut up!
-Unbelievable."
140;771750;774958,3334;"I love the way you just...
sit in the corner and brood."
141;775916,6667;778791,6667;"-I'm here to drink alone.
-Good. Yeah, good."
142;778875;783000;"No one else hesitated to comment on
the quality of my performance, except..."
143;784250;786583,3334;"for you. Come on."
144;786666,6667;788916,6667;"You don't want to keep a man with..."
145;789000;791083,3334;"bread in his pants waiting."
146;791166,6667;794041,6667;"You must have some review for me.
Three words or less."
147;796000;797416,6667;"They don't exist."
148;798375;799791,6667;"What don't exist?"
149;799875;802416,6667;"The creatures in your song."
150;802500;803666,6667;"And how would you know?"
151;807166,6667;809625;"Oh, fun. White hair..."
152;810375;812166,6667;"big, old loner, two very..."
153;813166,6667;815208,3334;"very scary-looking swords."
154;815291,6667;816583,3334;"I know who you are."
155;820791,6667;823833,3334;"You're the Witcher, Geralt of Rivia."
156;825125;826125;"Called it."
157;832791,6667;835625;"A job I've got for ya. I beg you."
158;838208,3334;840958,3334;"A devil--
he's been stealing all our grain."
159;843666,6667;846541,6667;"In advance, I'll pay you.
A hundred ducat."
160;850583,3334;851750;"One fifty."
161;855708,3334;857416,6667;"I've no doubt you'll come through."
162;859166,6667;861750;"You take no prisoners, so I hear."
163;869041,6667;871750;"Ah. Need a hand? I've got two."
164;871833,3334;873833,3334;"One for each of the, uh, devil's horns."
165;873916,6667;875166,6667;"Go away."
166;875250;877375;"I won't be but silent back-up."
167;879708,3334;881541,6667;"I heard your note, and, yes, you're right,"
168;881625;884208,3334;"maybe real adventures 
would make better stories."
169;884291,6667;887791,6667;"And you, sir, smell chock-full of them."
170;887875;890833,3334;"Amongst other things.
I mean, what is that? Is that onion?"
171;890916,6667;895041,6667;"It doesn't matter. Whatever it is, 
you smell of death and destiny."
172;895125;898083,3334;"Heroics and heartbreak."
173;898166,6667;899208,3334;"It's onion."
174;900083,3334;901708,3334;"Right, yeah. Yeah."
175;901791,6667;903500;"Ooh, I could be your barker,"
176;903583,3334;905625;"spreading the tales of Geralt of Rivia,"
177;905708,3334;908333,3334;"the-the Butcher of Blaviken."
178;912208,3334;913291,6667;"-Come here.
-Yeah?"
179;913958,3334;915333,3334;"[groans]"
180;915416,6667;916666,6667;"[wheezing]"
181;916750;918916,6667;"Ho ho. Uhh."
182;919000;920000;"Come on, Roach."
183;932416,6667;935125;"Do you know how many people 
wouldn't blink if you died?"
184;942416,6667;943416,6667;"You get to live."
185;945958,3334;946958,3334;"Who are you?"
186;948583,3334;949916,6667;"Tissaia de Vries."
187;952500;953916,6667;"Rectoress of Aretuza."
188;956541,6667;960833,3334;"[sobs] You should've let me die.
At least I had control over that."
189;960916,6667;962375;"Oh, that's adorable, piglet."
190;963458,3334;966583,3334;"You weren't taking control.
You were losing it."
191;967708,3334;969458,3334;"Be in the greenhouse in 20 minutes."
192;972708,3334;973708,3334;"[door slams]"
193;977958,3334;980416,6667;"-[winces]
-[Tissaia] I sense your terror."
194;981375;983541,6667;"And you are right to be afraid."
195;997625;1001375;"Chaos is the most dangerous thing
in this world."
196;1002333,3334;1006416,6667;"It is all around us all the time."
197;1006500;1008500;"Volatile and powerful."
198;1009666,6667;1012875;"But... each one of you"
199;1012958,3334;1015166,6667;"showed an aptitude for channeling it."
200;1016375;1020083,3334;"Your conduit moment 
created a new ripple in chaos,"
201;1020166,6667;1022208,3334;"reaching me here in Aretuza."
202;1023125;1027166,6667;"Anica, you saved a drowning boy 
with your mind."
203;1029458,3334;1031416,6667;"Fringilla froze a cat."
204;1031500;1032500;"On accident."
205;1034875;1038750;"Sabrina... turned her mother fat."
206;1040833,3334;1045375;"But just because
you are conduits of chaos..."
207;1046166,6667;1050791,6667;"does not mean
that you are capable of magic."
208;1051791,6667;1052875;"I want to go home."
209;1056375;1057458,3334;"This is your home."
210;1058416,6667;1060750;"Listen closely.
Your survival depends on it."
211;1063250;1066541,6667;"Magic is organizing chaos."
212;1067333,3334;1070333,3334;"And while oceans of mystery remain,"
213;1070416,6667;1074833,3334;"we have deduced
that this requires two things."
214;1077708,3334;1080875;"Balance and control."
215;1082750;1085750;"Without them, chaos will kill you."
216;1087041,6667;1089208,3334;"This is the simplest of trials"
217;1089291,6667;1091625;"to see whether 
you are worthy of the ascension."
218;1092625;1096416,6667;"Between your flower and your stone
lies the balance."
219;1097375;1100166,6667;"Lift your stone without touching it."
220;1101458,3334;1103833,3334;"Use the incantation [speaking Elder]."
221;1107291,6667;1110833,3334;"[all speaking Elder]"
222;1110916,6667;1112083,3334;"[gasps]"
223;1112166,6667;1114291,6667;"-[rattling]
-[speaking Elder]"
224;1115583,3334;1118000;"-[gasps] I'm doing it.
-Your hand..."
225;1119000;1120625;"[screaming]"
226;1126125;1127625;"This is the balance."
227;1128541,6667;1131125;"Demonstrated beautifully.
Thank you, Fringilla."
228;1132125;1134333,3334;"There is no conjuring something
from nothing."
229;1134958,3334;1136916,6667;"There is a give and a take."
230;1140416,6667;1141583,3334;"[speaking Elder]"
231;1153625;1154958,3334;"[speaking Elder]"
232;1155041,6667;1157625;"[girls speaking Elder]"
233;1158916,6667;1160000;"[speaking Elder]"
234;1160916,6667;1161791,6667;"[sighs]"
235;1161875;1163000;"[speaking Elder]"
236;1164875;1165916,6667;"[speaking Elder]"
237;1168666,6667;1169875;"[speaking Elder]"
238;1173583,3334;1174625;"[speaking Elder]"
239;1178708,3334;1181208,3334;"-[speaking Elder]
-You've lost a lot of blood, piglet."
240;1181291,6667;1182375;"[speaking Elder]"
241;1184875;1186083,3334;"[speaking Elder]"
242;1186166,6667;1187166,6667;"[gasps]"
243;1192125;1193125;"[speaking Elder]"
244;1193916,6667;1194958,3334;"[speaking Elder]"
245;1195958,3334;1196916,6667;"[speaking Elder]"
246;1198333,3334;1199416,6667;"[speaking Elder]"
247;1205833,3334;1207750;"Sometimes a flower is just a flower..."
248;1208666,6667;1211000;"and the best thing it can do for us
is to die."
249;1231666,6667;1233083,3334;"[faint scratching]"
250;1237291,6667;1238833,3334;"[scratching continues]"
251;1249333,3334;1250333,3334;"Istredd."
252;1251958,3334;1254333,3334;"You were right. She found me."
253;1255291,6667;1256583,3334;"And you found me."
254;1259000;1260000;"My name."
255;1261208,3334;1262208,3334;"It's Yennefer."
256;1265125;1266791,6667;"It's good to meet you properly..."
257;1268958,3334;1270000;"Yennefer."
258;1273666,6667;1274958,3334;"[dog barking]"
259;1275041,6667;1276833,3334;"[hammering]"
260;1276916,6667;1278583,3334;"[horse neighs]"
261;1281000;1282333,3334;"[baby crying]"
262;1295083,3334;1297083,3334;"[indistinct chatter]"
263;1313458,3334;1315291,6667;"Hey, no cutting."
264;1315375;1318375;"Don't touch me.
This food was provided by the queen."
265;1318458,3334;1319708,3334;"May she rot in hell."
266;1321000;1322000;"Your cloak..."
267;1324166,6667;1325625;"My father made it."
268;1325708,3334;1329125;"Ziven Ozol. He clothes Cintra's finest."
269;1332416,6667;1334375;"You look like you've been through hell."
270;1335291,6667;1336291,6667;"Like all of us."
271;1343458,3334;1344791,6667;"[man coughs]"
272;1345958,3334;1347291,6667;"They're elf ears."
273;1350041,6667;1351041,6667;"I killed them all."
274;1353000;1356458,3334;"Doing my part to avenge human lives lost
in Filavandrel's uprising."
275;1357250;1358625;"Filavandrel?"
276;1358708,3334;1360166,6667;"The elves call him "King.""
277;1361125;1363625;"Last year, he tried to claim Cintran land."
278;1363708,3334;1365833,3334;"My brother got an arrow in the brain."
279;1367416,6667;1369666,6667;"Every day, I make sure
his death's not in vain."
280;1373791,6667;1374916,6667;"Come. Meet my family."
281;1387666,6667;1388666,6667;"Come."
282;1390875;1392916,6667;"Mother, I brought someone to join us."
283;1393791,6667;1394875;"This is..."
284;1396333,3334;1397333,3334;"Fiona."
285;1397916,6667;1399833,3334;"Look at you in your little cloak."
286;1400791,6667;1402166,6667;"[boy] Our father just died."
287;1402958,3334;1406666,6667;"Fighting to defend that wretched bitch
and her wretched family."
288;1406750;1409791,6667;"Mother, stop. 
It wasn't Queen Calanthe's fault."
289;1409875;1412625;"Nilfgaard only got past Cintran borders
because of elven spies."
290;1412708,3334;1414583,3334;"Technically, it was the elves' land first."
291;1414666,6667;1416083,3334;"-Our brother died for that land."
292;1416166,6667;1419041,6667;"And your father died
for Calanthe's selfishness."
293;1419125;1421208,3334;"One conflict after another."
294;1421291,6667;1424625;"Robbing us of our homes, 
our men, and our lives."
295;1425291,6667;1427250;"-When will it stop?
-When I'm a knight."
296;1427375;1429166,6667;"I'll have enough coin
to rebuild our house."
297;1429250;1430541,6667;"You're to be a knight?"
298;1430625;1433791,6667;"I have to apprentice,
but I'll be ready when Cintra rises again."
299;1436666,6667;1439458,3334;"[mother] To order and dignity."
300;1440625;1443000;"Oh, child. Your shoes."
301;1444166,6667;1446375;"Let's get you a fresh pair, why don't we?"
302;1448000;1450583,3334;"That'd be wonderful. Thank you."
303;1451041,6667;1452166,6667;"Abbott."
304;1473416,6667;1475541,6667;"Don't worry. He's one of the clean ones."
305;1482875;1486125;"[bard] Reading between the lines
and the gut punches, chum,"
306;1486208,3334;1489791,6667;"I'd say you have got 
a bit of a... an image problem."
307;1490416,6667;1492958,3334;"Were I to join you on this..."
308;1493041,6667;1495083,3334;"feat to defeat the devil of Posada,"
309;1495166,6667;1497291,6667;"I could relieve you of that title."
310;1498291,6667;1501333,3334;"All the North would be too busy
singing the tales of..."
311;1501416,6667;1505791,6667;"Geralt of Rivia, 
the-the White Wolf or-or something."
312;1506541,6667;1507625;"Butcher is right."
313;1509166,6667;1511375;"Mind if I hop up?
I'm not wearing the right footwear."
314;1511458,3334;1513208,3334;"-Don't touch Roach.
-Yeah, right, yeah."
315;1518625;1522500;"The elves called this Dol Blathanna
before bequeathing it to the humans"
316;1522583,3334;1526791,6667;"and retreating into their golden palaces
in the mountains."
317;1527500;1531000;"There I go again,
just... delivering exposition."
318;1532875;1533875;"Geralt?"
319;1534708,3334;1537041,6667;"Geralt? Wh-Where are you going?"
320;1537708,3334;1539208,3334;"Geralt, don't leave me."
321;1540208,3334;1541208,3334;"Hello?"
322;1542000;1544458,3334;"-What are we looking for again?
-Blessed silence."
323;1544541,6667;1546083,3334;"[grasshoppers chirping]"
324;1546166,6667;1549875;"Yeah, I don't really go in for that. 
Have you ever hunted a devil before?"
325;1550375;1552208,3334;"-Devils don't exist.
-Right."
326;1553458,3334;1557750;"Obviously. Then, uh...
then what are we doing?"
327;1558791,6667;1562458,3334;"Sometimes there's monsters,
sometimes there's money."
328;1563583,3334;1564666,6667;"Rarely both."
329;1565833,3334;1567583,3334;"That's the life."
330;1568916,6667;1570666,6667;"-[projectile hits]
-Shit!"
331;1570750;1572833,3334;"Act Two begins!"
332;1572916,6667;1576416,6667;"What was that? 
Looks like a tiny cannonball from a..."
333;1577000;1578000;"Oh, my gosh."
334;1587458,3334;1589916,6667;"Geralt... it is a devil."
335;1593750;1595333,3334;"Ohh."
336;1595416,6667;1598416,6667;"-I have to see this magical, this mythi--
-[projectile hits]"
