Number;Start time in milliseconds;End time in milliseconds;"Text"
1;11875;13916,6667;"[whispering voices overlapping]"
2;15500;18416,6667;"Ciri. Ciri..."
3;20750;22750;"-[thumping]
-[voice whispering]"
4;32875;35250;"[voices continue whispering softly]"
5;57000;59208,3334;"[whispering growing in intensity]"
6;62208,3334;63375;"-[gasps]
-[wings fluttering]"
7;64208,3334;65375;"[birdsong]"
8;65791,6667;67416,6667;"-[twig cracks]
-[rustling]"
9;67500;68916,6667;"-Dara?
-[twig cracks]"
10;74125;75708,3334;"-[gasps]
-[all grunt]"
11;80458,3334;81333,3334;"Please..."
12;82375;83208,3334;"don't hurt me."
13;83291,6667;84750;"[in Elder] Keep your aim true."
14;86666,6667;87708,3334;"I'm lost."
15;88500;90083,3334;"I don't know... how I got here."
16;98916,6667;99750;"Please."
17;106333,3334;109166,6667;"[in Elder] If she runs, kill her."
18;114333,3334;115625;"Where are you taking me?"
19;116750;118875;"I need to find Dara. Please!"
20;133916,6667;135458,3334;"What is your name?"
21;137625;138500;"Fiona."
22;140333,3334;143583,3334;"-Where am I? How did I get--
-You are in Brokilon Forest."
23;145208,3334;146208,3334;"Follow me."
24;161541,6667;162708,3334;"I tell you no lie,"
25;163958,3334;166041,6667;"it swallowed the whole village, it did."
26;166125;168291,6667;"-[people gasp and murmur]
-Not a bone to be found!"
27;169541,6667;171583,3334;"Oh, don't give me that look, shitling."
28;172208,3334;174125;"That's why we had to call him..."
29;175541,6667;176875;"The White Wolf!"
30;178500;181458,3334;"And he stood in the middle
of that frozen lake"
31;181875;184083,3334;"like he knew it was coming for him."
32;185875;187833,3334;"The ice cracked open"
33;188250;190083,3334;"and a selkiemore shot out!"
34;190166,6667;191791,6667;"Oh, you've never seen one,"
35;191875;194458,3334;"but it'd take down a ship
with its cavernous mouth"
36;194875;196750;"full of devil's teeth!"
37;196833,3334;198125;"[gasping]"
38;198208,3334;200750;"And it... swallowed..."
39;201625;202750;"that witcher..."
40;203166,6667;204125;"whole!"
41;205291,6667;208500;"Oh, this is brilliant!"
42;209833,3334;213208,3334;"Oh, sorry. It's just Geralt's usually
so stingy with the details."
43;214166,6667;215333,3334;"Uh... and then what happened?"
44;218000;219000;"He died."
45;219083,3334;220166,6667;"[all gasp]"
46;220250;221708,3334;"Eh... He's fine."
47;222083,3334;224083,3334;"Look, I was there."
48;224166,6667;225625;"-I saw it with my own--
-[crash]"
49;228000;229250;"-See?
-[gasping]"
50;232708,3334;234375;"-[chuckling]
-Oh..."
51;235250;236375;"What's that stench?"
52;236458,3334;238041,6667;"-Selkiemore guts.
-[man] Ugh!"
53;238958,3334;241708,3334;"Had to get it from the inside.
I'll take what I'm owed."
54;241791,6667;243791,6667;"♪ Toss a coin to your witcher ♪"
55;243875;245583,3334;"♪ O, Valley of Plenty ♪"
56;245666,6667;247166,6667;"♪ Whoa ♪"
57;247250;249833,3334;"[all] ♪ Toss a coin to your witcher ♪"
58;249916,6667;254875;"-♪ A friend of humanity ♪
-Yikes."
59;254958,3334;256666,6667;"-[cheering]
-Thank you!"
60;260208,3334;261500;"You're welcome."
61;261583,3334;264708,3334;"And now, Witcher,
it's time to repay your debt."
62;265916,6667;268916,6667;""What debt?" you're probably asking 
yourself in your head right now."
63;269000;269833,3334;"Well, I'll tell you."
64;269916,6667;272916,6667;"I've made you famous, Witcher."
65;273000;275625;"By rights, I should be claiming
ten percent of all your coin,"
66;275708,3334;278875;"but instead, 
what I'm asking for is a teeny,"
67;279416,6667;280666,6667;"teeny-weeny little favor."
68;280750;281791,6667;"Fuck off, bard."
69;282375;284250;"For one measly night of service,"
70;284333,3334;288000;"you will gain a cornucopia
of earthly delights."
71;288083,3334;290083,3334;"The greatest masters
of the culinary arts"
72;290166,6667;292583,3334;"crafting morsels worthy of the gods."
73;292666,6667;295875;"Maidens
that would make the sun itself blush"
74;295958,3334;298125;"with a single comely smile."
75;298208,3334;302208,3334;"And rivers of the sweetest of drinks
from the rarest of--"
76;302291,6667;303291,6667;"Fuck!"
77;303708,3334;305166,6667;"Food, women and wine, Geralt!"
78;310416,6667;311250;"[grunts]"
79;311333,3334;313791,6667;"Now, now,
stop your boorish grunts of protest."
80;313875;317000;"It is one night bodyguarding your very
best friend in the whole wide world."
81;317083,3334;318166,6667;"How hard could it be?"
82;319708,3334;320708,3334;"I'm not your friend."
83;321250;322083,3334;"Oh. Oh, really?"
84;322166,6667;325583,3334;"Oh, you usually just let strangers
rub chamomile onto your lovely bottom?"
85;327250;329750;"Yeah, well, yeah, exactly.
That's what I thought."
