index,season_no,episode_no,episode_name,Character,Text
0,1,1,A Grain of Truth,,[cawing]
1,1,1,A Grain of Truth,,[cawing]
2,1,1,A Grain of Truth,,[caws]
3,1,1,A Grain of Truth,,Love surprises.
4,1,1,A Grain of Truth,,Love visitors.
5,1,1,A Grain of Truth,,A surprise visitor all the more.
6,1,1,A Grain of Truth,,I've had eyes on you for a while.
7,1,1,A Grain of Truth,,[chuckles]
8,1,1,A Grain of Truth,,We're very flattered.
9,1,1,A Grain of Truth,,But who is this secret peeper
10,1,1,A Grain of Truth,,peeping all our secrets?
11,1,1,A Grain of Truth,,I know who you are.
12,1,1,A Grain of Truth,,What you are.
13,1,1,A Grain of Truth,,You're different to other dopplers.
14,1,1,A Grain of Truth,,"You're not good-natured or helpful, are you?"
15,1,1,A Grain of Truth,,And yet you are here for our help.
16,1,1,A Grain of Truth,,Do you not have errand boys where you come from?
17,1,1,A Grain of Truth,,They lacked your valuable set of skills.
18,1,1,A Grain of Truth,,Don't worry.
19,1,1,A Grain of Truth,,[raven cawing]
20,1,1,A Grain of Truth,,It's not silver.
21,1,1,A Grain of Truth,,We fancy our freedom.
22,1,1,A Grain of Truth,,"It is not money we thirst for, per se."
23,1,1,A Grain of Truth,,There is plenty that you do thirst for.
24,1,1,A Grain of Truth,,Assassination on behalf of the Kingdom of Nilfgaard.
25,1,1,A Grain of Truth,,Or perhaps another eye or ear to round out your artful composition.
26,1,1,A Grain of Truth,,We'd planned on wearing this one for a while.
27,1,1,A Grain of Truth,,But we are flexible.
28,1,1,A Grain of Truth,,[neighing]
29,1,1,A Grain of Truth,,[horse nickers]
30,1,1,A Grain of Truth,,[men shouting]
31,1,1,A Grain of Truth,,[grunts]
32,1,1,A Grain of Truth,,[groaning]
33,1,1,A Grain of Truth,,[groans]
34,1,1,A Grain of Truth,,[coughing]
35,1,1,A Grain of Truth,,[gasps]
36,1,1,A Grain of Truth,,A cell of dimeritium made just for you.
37,1,1,A Grain of Truth,,How does it feel to be neutered of your powers?
38,1,1,A Grain of Truth,,"I know how you were schooled,"
39,1,1,A Grain of Truth,,how you were shaped.
40,1,1,A Grain of Truth,,This isn't who you are.
41,1,1,A Grain of Truth,,The White Flame made me who I am...
42,1,1,A Grain of Truth,,gave me a higher purpose.
43,1,1,A Grain of Truth,,"You could've had that too,"
44,1,1,A Grain of Truth,,if only you realized that Cintra had to fall.
45,1,1,A Grain of Truth,,I have found his purpose.
46,1,1,A Grain of Truth,,This one?
47,1,1,A Grain of Truth,,Do we have to?
48,1,1,A Grain of Truth,,[sighs]
49,1,1,A Grain of Truth,,[gasps]
50,1,1,A Grain of Truth,,Run.
51,1,1,A Grain of Truth,,[gasps]
52,1,1,A Grain of Truth,,[groans]
53,1,1,A Grain of Truth,,[Black Knight] I said run!
54,1,1,A Grain of Truth,,[whimpering]
55,1,1,A Grain of Truth,,[horse neighs]
56,1,1,A Grain of Truth,,[yells]
57,1,1,A Grain of Truth,,[breathing heavily]
58,1,1,A Grain of Truth,,"Everything you've ever done,"
59,1,1,A Grain of Truth,,"ever debated,"
60,1,1,A Grain of Truth,,"ever dreamed,"
61,1,1,A Grain of Truth,,is in our head now.
62,1,1,A Grain of Truth,,"Even this morning,"
63,1,1,A Grain of Truth,,when you thought to take your life.
64,1,1,A Grain of Truth,,He didn't want to be abused.
65,1,1,A Grain of Truth,,[doppler] Incorrect.
66,1,1,A Grain of Truth,,He didn't want to be used.  [chuckles]
67,1,1,A Grain of Truth,,You can't change the world this way.
68,1,1,A Grain of Truth,,Only one of us will be alive to find out.
69,1,1,A Grain of Truth,,Yeah.
70,1,1,A Grain of Truth,,[gasping]
71,1,1,A Grain of Truth,,[gasps]
72,1,1,A Grain of Truth,,You don't know what you're doing.
73,1,1,A Grain of Truth,,[groaning]
74,1,1,A Grain of Truth,,You don't know what she is.
75,1,1,A Grain of Truth,,She will end up where she belongs.
76,1,1,A Grain of Truth,,[cracking]
77,1,1,A Grain of Truth,,[Mousesack whimpers]
78,1,1,A Grain of Truth,,[sighs]
79,1,1,A Grain of Truth,,Would've made a terrible noose.
80,1,1,A Grain of Truth,,You're to bring me the girl alive.
81,1,1,A Grain of Truth,,So many rules.
82,1,1,A Grain of Truth,,Fine.
83,1,1,A Grain of Truth,,But it'll cost you.
84,1,1,A Grain of Truth,,Children are our favorite.
85,1,1,A Grain of Truth,,You're a wee bit shy.
86,1,1,A Grain of Truth,,I've never been shy a day in my life.
87,1,1,A Grain of Truth,,Count it again.
88,1,1,A Grain of Truth,,"Times are shifting, my dear."
89,1,1,A Grain of Truth,,My rates have gone up since last we spoke.
90,1,1,A Grain of Truth,,I've found more demand for my services.
91,1,1,A Grain of Truth,,Then your customers will be awfully disappointed
92,1,1,A Grain of Truth,,when they find a charred spot where you once stood.
93,1,1,A Grain of Truth,,None more so than yourself.
94,1,1,A Grain of Truth,,You've come so far already.
95,1,1,A Grain of Truth,,Just a few more...
96,1,1,A Grain of Truth,,treatments should do the trick.
97,1,1,A Grain of Truth,,"Isn't it lovely,"
98,1,1,A Grain of Truth,,the life we've chosen?
99,1,1,A Grain of Truth,,Not being bound by the rules of the Brotherhood.
100,1,1,A Grain of Truth,,Living off the grid with no resources.
101,1,1,A Grain of Truth,,Mm. It's a dream come true.
102,1,1,A Grain of Truth,,[loud thud]
103,1,1,A Grain of Truth,,"Lucky for you, you found your way to an intolerant kingdom."
104,1,1,A Grain of Truth,,"For quick coin, head to the nearest town in any direction."
105,1,1,A Grain of Truth,,Your skills will be rewarded.
106,1,1,A Grain of Truth,,"If it's as you say, then why aren't you out there taking advantage?"
107,1,1,A Grain of Truth,,As you're so inclined.
108,1,1,A Grain of Truth,,[Hemet chuckles]
109,1,1,A Grain of Truth,,Because my customers...
110,1,1,A Grain of Truth,,come to me.
111,1,1,A Grain of Truth,,Hm.
112,1,1,A Grain of Truth,,[Hemet]  I see a lot of myself in you.
113,1,1,A Grain of Truth,,Follow my footsteps.
114,1,1,A Grain of Truth,,You could gain some repute.
115,1,1,A Grain of Truth,,Find a whole new career to fund what you...
116,1,1,A Grain of Truth,,so desperately want.
117,1,1,A Grain of Truth,,[chuckles]
118,1,1,A Grain of Truth,,"With mages like us,"
119,1,1,A Grain of Truth,,word of mouth is paramount.
120,1,1,A Grain of Truth,,"There is no us."" There's only me."""
121,1,1,A Grain of Truth,,And I know a thing or two about stirring word of mouth.
122,1,1,A Grain of Truth,,[indistinct chatter]
123,1,1,A Grain of Truth,,[woman] I'd given up altogether.
124,1,1,A Grain of Truth,,"Love, that's nice, but not on the cards for me."
125,1,1,A Grain of Truth,,Not in my lifetime.
126,1,1,A Grain of Truth,,It took me nearly a whole one to find him.
127,1,1,A Grain of Truth,,[sighs]
128,1,1,A Grain of Truth,,[woman moans softly]
129,1,1,A Grain of Truth,,"As you can see, passion is not the trouble."
130,1,1,A Grain of Truth,,Our issue...
131,1,1,A Grain of Truth,,my... issue is of a mechanical nature.
132,1,1,A Grain of Truth,,[Yennefer] Hm.
133,1,1,A Grain of Truth,,I have just the thing.
134,1,1,A Grain of Truth,,"Now, be prepared."
135,1,1,A Grain of Truth,,"The spell should take effect quickly,"
136,1,1,A Grain of Truth,,and will endure until your lady utters a handpicked magic word.
137,1,1,A Grain of Truth,,Anything come to mind?
138,1,1,A Grain of Truth,,Kumquat?
139,1,1,A Grain of Truth,,You arrived at that rather quickly.
140,1,1,A Grain of Truth,,Kumquat it is.
141,1,1,A Grain of Truth,,[indistinct chanting]
142,1,1,A Grain of Truth,,[groans]
143,1,1,A Grain of Truth,,[coughs]
144,1,1,A Grain of Truth,,[gasps]
145,1,1,A Grain of Truth,,"We'd better go now, schnucki."
146,1,1,A Grain of Truth,,[door opens]
147,1,1,A Grain of Truth,,[door closes]
148,1,1,A Grain of Truth,,What is this...
149,1,1,A Grain of Truth,,wretched business here?
150,1,1,A Grain of Truth,,Did you not understand the sign?
151,1,1,A Grain of Truth,,Are you familiar with who I am?
152,1,1,A Grain of Truth,,[coins clink]
153,1,1,A Grain of Truth,,"Well, won't you end this rather melodramatic suspense and tell me?"
154,1,1,A Grain of Truth,,He is Beau Berrant.
155,1,1,A Grain of Truth,,Perhaps you are not aware  of the rules here?
156,1,1,A Grain of Truth,,"If you are casting spells,"
157,1,1,A Grain of Truth,,I need to collect what's due to the kingdom.
158,1,1,A Grain of Truth,,I'm afraid those terms seem rather shite to me.
159,1,1,A Grain of Truth,,[chuckles]
160,1,1,A Grain of Truth,,I did suspect you possessed such a predilection.
161,1,1,A Grain of Truth,,Though I am less...
162,1,1,A Grain of Truth,,burly than your usual type.
163,1,1,A Grain of Truth,,"[Dryad General, in Elder] We can't trust her."
164,1,1,A Grain of Truth,,"She hid her identity, her past,"
165,1,1,A Grain of Truth,,her ties to Cintra...
166,1,1,A Grain of Truth,,Shan-Kayan is the only reason we know who she is.
167,1,1,A Grain of Truth,,Ciri was scared.
168,1,1,A Grain of Truth,,Perhaps she can't yet trust us.
169,1,1,A Grain of Truth,,We still don't know her intent.
170,1,1,A Grain of Truth,,She's a girl...
171,1,1,A Grain of Truth,,Who possesses the power of a weapon.
172,1,1,A Grain of Truth,,"In Brokilon, she can be molded."
173,1,1,A Grain of Truth,,She can become one of us.
174,1,1,A Grain of Truth,,She's not one of us.
175,1,1,A Grain of Truth,,Nilfgaardian spies.
176,1,1,A Grain of Truth,,Found them searching our border.
177,1,1,A Grain of Truth,,Their whole army will arrive. It's only a matter of time.
178,1,1,A Grain of Truth,,What if this girl...
179,1,1,A Grain of Truth,,is our only way...
180,1,1,A Grain of Truth,,to survive?
181,1,1,A Grain of Truth,,[rustling]
182,1,1,A Grain of Truth,,Ciri...
183,1,1,A Grain of Truth,,[in English] ...will be allowed to stay.
184,1,1,A Grain of Truth,,[exhales deeply]
185,1,1,A Grain of Truth,,I don't think they like me.
186,1,1,A Grain of Truth,,"When Queen Calanthe closed the borders of Cintra,"
187,1,1,A Grain of Truth,,it was to protect her people.
188,1,1,A Grain of Truth,,The General wants to protect us.
189,1,1,A Grain of Truth,,We all make decisions.
190,1,1,A Grain of Truth,,The sword of destiny has two edges.
191,1,1,A Grain of Truth,,What does that mean?
192,1,1,A Grain of Truth,,You must make the choice.
193,1,1,A Grain of Truth,,You can stay. Or you can continue on your search.
194,1,1,A Grain of Truth,,What do you want to do?
195,1,1,A Grain of Truth,,[Jaskier] ♪ 'Cause you all know That this bard ♪
196,1,1,A Grain of Truth,,♪ Loved ladies from Nilfgaard ♪
197,1,1,A Grain of Truth,,♪ 'Cause Nilfgaard can kiss my... ♪
198,1,1,A Grain of Truth,,Geralt!
199,1,1,A Grain of Truth,,Hello.
200,1,1,A Grain of Truth,,"What's it been, months? Years? What is time, anyway?"
201,1,1,A Grain of Truth,,I heard you were in town.
202,1,1,A Grain of Truth,,"Are you following me, you scamp?"
203,1,1,A Grain of Truth,,"I mean, I'm flattered and everything,"
204,1,1,A Grain of Truth,,but you should really think about getting a hobby one of these days.
205,1,1,A Grain of Truth,,Ugh!
206,1,1,A Grain of Truth,,Do you want some?
207,1,1,A Grain of Truth,,"How are you doing?"" I hear you ask."
209,1,1,A Grain of Truth,,"Well, the Countess de Stael,"
210,1,1,A Grain of Truth,,"my muse and beauty of this world,"
211,1,1,A Grain of Truth,,has left me.
212,1,1,A Grain of Truth,,"Again. Rather coldly and unexpectedly, I might add."
213,1,1,A Grain of Truth,,I fear I shall die a brokenhearted man.
214,1,1,A Grain of Truth,,"Or a hungry one, at the very least,"
215,1,1,A Grain of Truth,,unless somebody fancies sharing a fish with an old friend?
216,1,1,A Grain of Truth,,"Oh, are we not using friend""?"""
217,1,1,A Grain of Truth,,"Yeah, sure.  Let's just give it another decade."
218,1,1,A Grain of Truth,,"Geralt, you're fantastic at a great many things,"
219,1,1,A Grain of Truth,,"but clearly, fishing is not one of them."
220,1,1,A Grain of Truth,,Have you caught anything today?
221,1,1,A Grain of Truth,,"What are you fishing for, exactly?"
222,1,1,A Grain of Truth,,Is it cod?
223,1,1,A Grain of Truth,,Carp?
224,1,1,A Grain of Truth,,Pike?
225,1,1,A Grain of Truth,,Bream?
226,1,1,A Grain of Truth,,I'm just-- I'm just listing fish that I know.
227,1,1,A Grain of Truth,,Zander? Is that a fish?
228,1,1,A Grain of Truth,,I'm not fishing.
229,1,1,A Grain of Truth,,I can't sleep.
230,1,1,A Grain of Truth,,Right. Good.
231,1,1,A Grain of Truth,,"Well, that-- that makes sense."
232,1,1,A Grain of Truth,,Insomuch that it sort of...
233,1,1,A Grain of Truth,,doesn't.
234,1,1,A Grain of Truth,,"What's going on, Geralt? Talk to me."
235,1,1,A Grain of Truth,,[sighs]
236,1,1,A Grain of Truth,,A djinn.
237,1,1,A Grain of Truth,,[Jaskier] A what?
238,1,1,A Grain of Truth,,[Geralt] I'm looking for a djinn.
239,1,1,A Grain of Truth,,For a dj-- For a djinn?  A dj-- Like a genie?
240,1,1,A Grain of Truth,,[laughs] The floaty fellas with the... the bad tempers
241,1,1,A Grain of Truth,,"and the banned magics, that kind of genie?"
242,1,1,A Grain of Truth,,Yes. It'll grant me wishes.
243,1,1,A Grain of Truth,,[laughs]
244,1,1,A Grain of Truth,,It's in this lake somewhere.
245,1,1,A Grain of Truth,,And I can't fucking sleep!
246,1,1,A Grain of Truth,,[grunts]
